Data Point,Latitude,Longitude,Altitude,RSRP,RF Channel Power,RSSI,SINR,RSRQ,OSTP,Text,Voice,Video
360,39.68871,-106.9445733,2218.2,,,,,,,,,
361,39.68867167,-106.9444767,2218.2,,,,,,,,,
362,39.68872,-106.9445483,2218.8,,,,,,,,,
363,39.68876167,-106.9446183,2218.2,,,,,,,,,
364,39.68876667,-106.9446317,2217.8,,,,,,,,,
365,39.68880667,-106.94476,2217.3,,,,,,,,,
366,39.68885833,-106.9449183,2216.1,,,,,,,,,
367,39.68891333,-106.945055,2215.2,,,,,,,,,
368,39.68897333,-106.945185,2214.7,,,,,,,,,
369,39.689035,-106.945335,2214.1,,,,,,,,,
370,39.68909167,-106.945485,2213.5,,,,,,,,,
371,39.68914833,-106.9456183,2212.8,,,,,,,,,
372,39.68921833,-106.94576,2212.5,,,,,,,,,
373,39.68929167,-106.9459017,2212.2,,,,,,,,,
374,39.689355,-106.9460233,2211.7,,,,,,,,,
375,39.68944,-106.946165,2210.9,,,,,,,,,
376,39.68951167,-106.9462817,2209.8,,,,,,,,,
377,39.68957833,-106.94639,2209.4,,,,,,,,,
378,39.68962833,-106.9465267,2208.6,,,,,,,,,
379,39.68967167,-106.94669,2207.8,,,,,,,,,
380,39.68971,-106.94683,2206.8,,,,,,,,,
381,39.68974333,-106.9469833,2205.5,,,,,,,,,
382,39.68978,-106.947125,2204.6,,,,,,,,,
383,39.68984167,-106.94726,2204.2,,,,,,,,,
384,39.68992667,-106.9473483,2203.3,,,,,,,,,
385,39.69001167,-106.94744,2202.8,,,,,,,,,
386,39.69011,-106.9475267,2202,,,,,,,,,
387,39.69020333,-106.9476217,2200.7,,,,,,,,,
388,39.69030833,-106.947725,2199.8,,,,,,,,,
389,39.690395,-106.9478217,2198.9,,,,,,,,,
390,39.69047833,-106.9479433,2198.5,,,,,,,,,
391,39.69056167,-106.948075,2197.4,,,,,,,,,
392,39.69063167,-106.9481917,2196.9,,,,,,,,,
393,39.6907,-106.9483017,2197.1,,,,,,,,,
394,39.69078,-106.9484367,2197.1,,,,,,,,,
395,39.69082667,-106.9485717,2196.8,,,,,,,,,
396,39.69083333,-106.9487117,2196.2,,,,,,,,,
397,39.69077833,-106.9488483,2195.3,,,,,,,,,
398,39.69071667,-106.9489333,2193.5,,,,,,,,,
399,39.69063667,-106.9490117,2192.9,,,,,,,,,
400,39.69059333,-106.9491167,2192.7,,,,,,,,,
401,39.69056,-106.949225,2192.2,,,,,,,,,
402,39.69053167,-106.9492983,2192,,,,,,,,,
403,39.69048167,-106.9493767,2191.5,,,,,,,,,
404,39.690445,-106.94949,2191,,,,,,,,,
405,39.69042333,-106.9495767,2190.5,,,,,,,,,
406,39.69039333,-106.94966,2190.9,,,,,,,,,
407,39.69038833,-106.9497167,2190.4,,,,,,,,,
408,39.69035167,-106.9497967,2191,,,,,,,,,
409,39.69032333,-106.9498717,2191,,,,,,,,,
410,39.6903,-106.949965,2190.6,,,,,,,,,
411,39.69028833,-106.950045,2190.2,,,,,,,,,
412,39.69027167,-106.9501517,2189.6,,,,,,,,,
413,39.69023167,-106.9502283,2189.3,,,,,,,,,
414,39.69019833,-106.950275,2189.3,,,,,,,,,
415,39.69019333,-106.9502667,2189.3,,,,,,,,,
416,39.69023167,-106.9502233,2189.2,,,,,,,,,
417,39.69025667,-106.9501317,2189.7,,,,,,,,,
418,39.69027,-106.9500533,2189.8,,,,,,,,,
419,39.69028,-106.949975,2191.2,,,,,,,,,
420,39.69029667,-106.9498917,2191.9,,,,,,,,,
421,39.69032167,-106.9498217,2191.4,,,,,,,,,
422,39.69034667,-106.949735,2192.1,,,,,,,,,
423,39.69036833,-106.9496683,2192.7,,,,,,,,,
